chisq H0 ombh2 omch2 tau As ns
2.585044742909793058e+03 6.882949231636594334e+01 2.247318075990476990e-02 1.162288958453363830e-01 1.033600516907198265e-02 1.904726997629298475e-09 9.739705294235118105e-01
2.585064321980751629e+03 6.884999604497077996e+01 2.247318100011660644e-02 1.162289237075271736e-01 1.036193939589467698e-02 1.904726997629386570e-09 9.739700718736946650e-01
2.585068583308263442e+03 6.885598922138342459e+01 2.247318222488936187e-02 1.162289110985246926e-01 1.035603282699538476e-02 1.904726997629700485e-09 9.739706151388956012e-01
2.585096637548101171e+03 6.887142061334027687e+01 2.247318118508338791e-02 1.162288522592330037e-01 1.034118413670816888e-02 1.904726997629607013e-09 9.739708590496349849e-01
2.585121204376147034e+03 6.888268461484817351e+01 2.247318090679891259e-02 1.162288174003485303e-01 1.032011321119415993e-02 1.904726997629955670e-09 9.739699827874483962e-01
2.585211047792703539e+03 6.890193149816663265e+01 2.247318173176839073e-02 1.162289166599122098e-01 1.030397166824243219e-02 1.904726997629874193e-09 9.739700250328879871e-01
2.585238053186660181e+03 6.890747388315141109e+01 2.247318152986434170e-02 1.162289825155035650e-01 1.029426063498865493e-02 1.904726997630285302e-09 9.739695408883084493e-01
2.585246609528343015e+03 6.890883376357638213e+01 2.247318125945206926e-02 1.162289230938312046e-01 1.029350229001335486e-02 1.904726997630160811e-09 9.739698773686914501e-01
2.585184954611639114e+03 6.890096218070115697e+01 2.247318184275931899e-02 1.162288968522652982e-01 1.028677920891175358e-02 1.904726997629774104e-09 9.739698435716449554e-01
2.585165666435194908e+03 6.889805168511030331e+01 2.247318215489790133e-02 1.162289102191393642e-01 1.028567540813233455e-02 1.904726997629406009e-09 9.739699312810451426e-01
2.585133243090790529e+03 6.889413264230971379e+01 2.247318274860677506e-02 1.162288428639532689e-01 1.027568826293066839e-02 1.904726997629762110e-09 9.739698521675250742e-01
2.585168812722196435e+03 6.890122091878399146e+01 2.247318209280578169e-02 1.162288594419472326e-01 1.027060053439720483e-02 1.904726997629586334e-09 9.739701072199166143e-01
2.585187473960304487e+03 6.889969216779965677e+01 2.247318272692091709e-02 1.162288926820630314e-01 1.029648488628144044e-02 1.904726997629551592e-09 9.739703370873565857e-01
2.585177082866011915e+03 6.890031394783520113e+01 2.247318270848897362e-02 1.162288419425994840e-01 1.028336690210963911e-02 1.904726997629413867e-09 9.739696773162737076e-01
2.585086576546199467e+03 6.888066324903250859e+01 2.247318274364475815e-02 1.162289256085821954e-01 1.029406282597830451e-02 1.904726997629332803e-09 9.739697415120726065e-01
2.585095666023476952e+03 6.887472206624964599e+01 2.247318241992091181e-02 1.162290264541533946e-01 1.032746461227569516e-02 1.904726997629133039e-09 9.739695633743501446e-01
2.585111361335110814e+03 6.886842003564201775e+01 2.247318197116877914e-02 1.162289880946021370e-01 1.036412446195843912e-02 1.904726997628594544e-09 9.739696303565826829e-01
2.585065697550744517e+03 6.884696847437081146e+01 2.247318205692527132e-02 1.162290106156640829e-01 1.036728391398354654e-02 1.904726997628586686e-09 9.739693693045120559e-01
2.585074913855042723e+03 6.883609600422836650e+01 2.247318248963952811e-02 1.162290617835649020e-01 1.038472170575230683e-02 1.904726997628962226e-09 9.739690770620826887e-01
2.585124876933752148e+03 6.881544998630725729e+01 2.247318317833062531e-02 1.162291301701592200e-01 1.042230305737934515e-02 1.904726997628706627e-09 9.739690423113052109e-01
2.585164578091486874e+03 6.879893290232912761e+01 2.247318279179916917e-02 1.162291269494715867e-01 1.040844621106464842e-02 1.904726997628530024e-09 9.739689013385670613e-01
2.585136047447198507e+03 6.880884362969744927e+01 2.247318258577730293e-02 1.162291196881999056e-01 1.041619574080423008e-02 1.904726997628426627e-09 9.739687408323246531e-01
2.585157589295128219e+03 6.880371327410256299e+01 2.247318199297223401e-02 1.162290996410782207e-01 1.042533552513195613e-02 1.904726997628453097e-09 9.739687555104814543e-01
2.585175971208222563e+03 6.879717671081158414e+01 2.247318107738746629e-02 1.162290879453673209e-01 1.041615022687939103e-02 1.904726997628384027e-09 9.739687130901246714e-01
2.585092015192167310e+03 6.882481804331725073e+01 2.247318062228787980e-02 1.162290156098857025e-01 1.039802611819727433e-02 1.904726997627941899e-09 9.739688946949300874e-01
2.585145739235718793e+03 6.880168112202322561e+01 2.247318127708617871e-02 1.162290201770432296e-01 1.039194473502858679e-02 1.904726997627765296e-09 9.739686469681443359e-01
2.585254313242278840e+03 6.878175138327969762e+01 2.247318140710781800e-02 1.162289837210313675e-01 1.041939573723330015e-02 1.904726997627938590e-09 9.739686578857628119e-01
2.585147463180657724e+03 6.881039044947348771e+01 2.247318123313823968e-02 1.162290217073073950e-01 1.043710262221188810e-02 1.904726997627963406e-09 9.739690494768884488e-01
2.585175586759481575e+03 6.880678182432829715e+01 2.247318121211958411e-02 1.162290307123027139e-01 1.046041030468360111e-02 1.904726997628114780e-09 9.739683241145522530e-01
2.585164409185626937e+03 6.881379319156954466e+01 2.247318111328085177e-02 1.162290635454744786e-01 1.046421245994728216e-02 1.904726997627679269e-09 9.739680941985294771e-01
2.585213323430034507e+03 6.879827059038282755e+01 2.247318086970617745e-02 1.162290574310838182e-01 1.047605610017173471e-02 1.904726997627736345e-09 9.739682050787621392e-01
2.585206051474523974e+03 6.880654531114203110e+01 2.247318063963005264e-02 1.162290099193786092e-01 1.049294738223019961e-02 1.904726997627410849e-09 9.739681127187014287e-01
2.585195122948207882e+03 6.881721163041011380e+01 2.247318091465571807e-02 1.162290070520907714e-01 1.049832691617706877e-02 1.904726997627094452e-09 9.739684700585532484e-01
2.585175911821579120e+03 6.882199087819518013e+01 2.247318109071877457e-02 1.162290685464225648e-01 1.048428397566798266e-02 1.904726997627211498e-09 9.739686278823106447e-01
2.585166732753672477e+03 6.882251120054188220e+01 2.247318101499823709e-02 1.162290959182980116e-01 1.047605060849198660e-02 1.904726997627025383e-09 9.739682234717902398e-01
2.585150594413037652e+03 6.881983099002631832e+01 2.247318084544051853e-02 1.162290689485119682e-01 1.045805533079179582e-02 1.904726997626668041e-09 9.739676635617773304e-01
2.585143725679399267e+03 6.881045506503684805e+01 2.247318081470695006e-02 1.162290726641172917e-01 1.043161738539444966e-02 1.904726997626484820e-09 9.739674433458687108e-01
2.585131739115870460e+03 6.881078174307245376e+01 2.247318099277413259e-02 1.162290131987315234e-01 1.041645286223360188e-02 1.904726997626206060e-09 9.739679359367311440e-01
2.585101507421297356e+03 6.883436773617717108e+01 2.247318052339996458e-02 1.162290942315806624e-01 1.041395829470226700e-02 1.904726997626116311e-09 9.739678457463024630e-01
2.585142537764983445e+03 6.880899764226265347e+01 2.247318019536947639e-02 1.162291594384998045e-01 1.042560143813052800e-02 1.904726997626329310e-09 9.739678292315360197e-01
2.585138445261668494e+03 6.881476617702061560e+01 2.247317990301923515e-02 1.162291540996273354e-01 1.043660081396933365e-02 1.904726997626565470e-09 9.739673642893131866e-01
2.585213625368875910e+03 6.879657052090522029e+01 2.247318011405901109e-02 1.162291445345166319e-01 1.046851871320356869e-02 1.904726997626665973e-09 9.739668720992441520e-01
2.585232428919270660e+03 6.879020734049721852e+01 2.247317873925062937e-02 1.162291887705188681e-01 1.045945623066061800e-02 1.904726997626791704e-09 9.739666066113374931e-01
2.585220031449989165e+03 6.881784103360828908e+01 2.247317756475677650e-02 1.162292773785404409e-01 1.051936764712672369e-02 1.904726997626689547e-09 9.739668716725350395e-01
2.585212456086992461e+03 6.881952789200997245e+01 2.247317676426492661e-02 1.162292598993660969e-01 1.051426035864399047e-02 1.904726997626918676e-09 9.739677128669083084e-01
2.585228892428792278e+03 6.882358419967660268e+01 2.247317732968992510e-02 1.162292507857249774e-01 1.052764188277747689e-02 1.904726997626645293e-09 9.739677024569782793e-01
2.585265184751270681e+03 6.881421844487037731e+01 2.247317715693266521e-02 1.162293016292108433e-01 1.055363525233831042e-02 1.904726997626364879e-09 9.739683540298287312e-01
